id,yq,arb1,lewspread_avg,lewtspread_avg,lBP_Ratio,ni_at,lcash_at,capx_at,llev_dif,llnsize,latgr_p4
001440,20202,0,2.6749437,.5383333,.49918962,.67006332,2.3879368,1.9152384,14.123732,11.26092,9.4407396
001440,20203,0,1.1104954,.44999999,.50773746,.96215141,.89583164,1.8973122,10.212967,11.261958,6.9927149
001440,20204,0,.9620018,.44166663,.50426692,.55344242,.85500824,1.9789221,9.7061996,11.273262,6.2784886
001440,20211,0,.67288262,.50124997,.49826837,.7120108,.79138458,1.9175999,10.398727,11.299202,6.2131891
001440,20212,0,.72129834,.92624992,.49702105,.69675159,.63035417,1.5655822,10.663906,11.326416,6.5496979
001440,20213,0,.65660673,.81,.50624818,.94359529,.68920392,1.5438926,12.632481,11.342827,8.0868893
001440,20214,0,.67068642,.76625001,.5475207,.62418127,1.9054381,1.8693007,14.350862,11.366014,9.2752218
001440,20221,0,.82985026,1.1088889,.49821281,.81522828,.766294,1.959308,13.76546,11.38132,8.2117815
001440,20222,0,.93898588,1.6722223,.4639993,.58387154,1.0397255,1.6565478,13.443506,11.40569,7.9273505
001440,20223,0,1.083186,1.5455556,.48891076,.75246555,.89499044,1.7990056,13.501745,11.417089,7.4262152
001440,20224,1,.6608572,.62,.54650635,.42115349,.85425216,2.117274,12.857973,11.421351,5.5337014
001602,20131,0,1.2568108,1.7505,.30616757,2.6409812,44.312866,.29098678,24.842241,10.902243,10.530322
001602,20132,0,1.2001808,1.936,.25365201,2.436096,41.190937,.30790085,22.637623,10.852052,4.7387199
001602,20133,0,1.2237647,2.1036842,.27724406,2.600266,41.85136,.33263639,21.48732,10.870662,.73257607
001602,20134,0,1.3779978,2.5730002,.2574327,1.788937,39.524822,.35218054,22.709837,10.952086,2.8885505
001602,20141,0,1.2660884,2.7183335,.29733485,1.6226842,29.339886,.26011342,22.872314,11.099302,19.70595
